ticker,displayName,securityType,isCore,yahooSymbol,localEvents,reachable,epsQuarters,revQuarters,hasTtmRevenue,hasTtmEbitda,priceBars,priceReachable,state,reasons
456010 KS,"ICTK Co.",operating,false,456010.KQ,0,true,0,0,true,true,21,true,PARTIAL,no-past-quarters
1ANET IM,"Arista Networks",operating,false,1ANET.MI,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
190510 KS,"Namuga Co.",operating,false,190510.KQ,0,true,0,4,false,false,21,true,PARTIAL,no-past-quarters|no-fundamentals
FIG1 MM,"Figma",operating,false,FIG1.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
CAMS IN,"Computer Age Management Services",operating,false,CAMS.BO,4,true,4,3,true,true,21,true,OK,
3702 TT,"WPG Holdings",operating,false,3702.TW,4,true,4,3,true,true,22,true,OK,
1170 GR,"Arista Networks",operating,false,1170.F,0,true,0,4,true,true,21,true,PARTIAL,no-past-quarters
300433 C1,"Lens Technology Co.",operating,false,300433.SZ,4,true,4,3,true,true,22,true,OK,
300604 C1,"Hangzhou Changchuan Technology Co.,Ltd",operating,false,300604.SZ,4,true,4,4,true,true,22,true,OK,
475400 KS,"CMES Robotics",operating,false,475400.KQ,0,true,0,0,true,true,21,true,PARTIAL,no-past-quarters
STX US,"Seagate Technology Holdings",operating,false,STX,4,true,4,4,true,true,20,true,OK,
001399 C1,"HKC",operating,false,001399.SZ,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
URBANCO IN,"Urban Company",operating,false,URBANCO.BO,3,true,3,2,true,true,21,true,OK,
9746 JP,"TKC",operating,false,9746.T,2,true,2,0,true,true,21,true,OK,
SAPGF US,"SAP SE",operating,false,SAPGF,0,true,0,4,true,true,19,true,PARTIAL,no-past-quarters
3445 JP,"RS Technologies Co.",operating,false,3445.T,2,true,2,0,true,true,21,true,OK,
UBER CN,"Uber Technologies",operating,false,UBER.NE,0,true,0,4,false,false,1,true,EMPTY,no-past-quarters|thin-price-history|no-fundamentals
